Subject,Start Date,Start Time,End Date,End Time,All day event,Organizer,Required Attendees,Location
Weekly Team Standup,01/06/2025,09:00 AM,01/06/2025,09:30 AM,FALSE,Sarah Johnson,Team Alpha,Conference Room A
Weekly Team Standup,01/13/2025,09:00 AM,01/13/2025,09:30 AM,FALSE,Sarah Johnson,Team Alpha,Conference Room A
Weekly Team Standup,01/20/2025,09:00 AM,01/20/2025,09:30 AM,FALSE,Sarah Johnson,Team Alpha,Conference Room A
Weekly Team Standup,01/27/2025,09:00 AM,01/27/2025,09:30 AM,FALSE,Sarah Johnson,Team Alpha,Conference Room A
1:1 with CEO,01/07/2025,10:00 AM,01/07/2025,11:00 AM,FALSE,Michael Chen,CEO; Executive Assistant,Executive Suite
1:1 with CEO,01/14/2025,10:00 AM,01/14/2025,11:00 AM,FALSE,Michael Chen,CEO; Executive Assistant,Executive Suite
1:1 with CEO,01/21/2025,10:00 AM,01/21/2025,11:00 AM,FALSE,Michael Chen,CEO; Executive Assistant,Executive Suite
1:1 with CEO,01/28/2025,10:00 AM,01/28/2025,11:00 AM,FALSE,Michael Chen,CEO; Executive Assistant,Executive Suite
Budget Review Q1,01/08/2025,02:00 PM,01/08/2025,04:00 PM,FALSE,Finance Team,CFO; Department Heads,Board Room
Strategic Planning Session,01/09/2025,09:00 AM,01/09/2025,12:00 PM,FALSE,Michael Chen,Leadership Team,Offsite Location
Client Meeting - Acme Corp,01/10/2025,11:00 AM,01/10/2025,12:30 PM,FALSE,Sales Team,Account Manager; CEO,Video Call
Monthly All-Hands,01/15/2025,03:00 PM,01/15/2025,04:30 PM,FALSE,HR Department,All Employees,Main Auditorium
Product Roadmap Review,01/16/2025,10:00 AM,01/16/2025,11:30 AM,FALSE,Product Team,Product; Engineering; Design,Conference Room B
Vendor Negotiation - TechSupply,01/17/2025,02:00 PM,01/17/2025,03:30 PM,FALSE,Procurement,Legal; Finance,Conference Room C
Weekly Leadership Sync,01/06/2025,04:00 PM,01/06/2025,05:00 PM,FALSE,Michael Chen,Leadership Team,Executive Conference Room
Weekly Leadership Sync,01/13/2025,04:00 PM,01/13/2025,05:00 PM,FALSE,Michael Chen,Leadership Team,Executive Conference Room
Weekly Leadership Sync,01/20/2025,04:00 PM,01/20/2025,05:00 PM,FALSE,Michael Chen,Leadership Team,Executive Conference Room
Weekly Leadership Sync,01/27/2025,04:00 PM,01/27/2025,05:00 PM,FALSE,Michael Chen,Leadership Team,Executive Conference Room
Board Preparation,01/22/2025,01:00 PM,01/22/2025,03:00 PM,FALSE,Michael Chen,CEO; CFO; General Counsel,Board Room
Board Meeting,01/23/2025,09:00 AM,01/23/2025,01:00 PM,FALSE,Board Secretary,Board of Directors,Board Room
Investor Call - Series C Update,01/24/2025,11:00 AM,01/24/2025,12:00 PM,FALSE,Michael Chen,CEO; CFO; Investors,Video Call
